man_hour,workcenter,proses,tipe_proses,kapasitas,produk,id_tipe_proses,id_proses,id_workcenter,id_kapasitas,id_produk,,
12,MOULD & CASTING,HV MOULDING,KONDUKTOR 4-6,10,Dry Resin,99,64,9,1,5,,,TRANSPOSE,26,,DGPT C/W CONTROL BOX,26,,,,,,500,26,,,
3,MOULD & CASTING,HV CASTING,1X PENGISIAN,10,Dry Resin,100,65,9,1,5,,,2 SECTION,27,,MEMBRAN SEPERATOR,27,,,,,,600,27,,,
4,MOULD & CASTING,HV CASTING,2X PENGISIAN,10,Dry Resin,101,65,9,1,5,,,4 SECTION,28,,DIAL THERMOMETER,28,,,,,,630,28,,,
3,MOULD & CASTING,HV DEMOULDING,PAKAI AIRWAY STICK,10,Dry Resin,102,66,9,1,5,,,FR OLTC,29,,OIL THERMOMETER,29,,,,,,750,29,,,
3,MOULD & CASTING,HV DEMOULDING,TIDAK PAKAI AIRWAY STICK,10,Dry Resin,103,66,9,1,5,,,WOUND-KOTAK,30,,BUCCHOLZ RELAY,30,,,,,,800,30,,,
2,MOULD & CASTING,LV BOBBIN,PENGECATAN COIL LV & CURING,10,Dry Resin,104,67,9,1,5,,,STACKING-KOTAK,31,,ANTI VIBRATION,31,,,,,,1000,31,,,
0.5,MOULD & CASTING,LV BOBBIN,BUKA BOBIN LV,10,Dry Resin,105,67,9,1,5,,,ON-LOAD,32,,OLTC,32,,,,,,1250,32,,,
1,MOULD & CASTING,LV MOULDING,SETTING MOULD,10,Dry Resin,106,68,9,1,5,,,CHANGE OVER BOARD,33,,MOLG,33,,,,,,1600,33,,,
1,MOULD & CASTING,LV MOULDING,MOULDING,10,Dry Resin,107,68,9,1,5,,,DOUBLE TAP,34,,PRD,34,,,,,,1750,34,,,
3,MOULD & CASTING,LV MOULDING,CASTING 1 X PROSES PENGISIAN,10,Dry Resin,108,68,9,1,5,,,FLAT,35,,CONTROL VT,35,,,,,,2000,35,,,
4,MOULD & CASTING,LV MOULDING,CASTING 2 X PROSES PENGISIAN,10,Dry Resin,109,68,9,1,5,,,WIRE SOFT,36,,DIFFERENTIAL VT,36,,,,,,2000/2600,36,,,
0.25,MOULD & CASTING,OVEN,OVEN PREHEATING,10,Dry Resin,184,120,9,1,5,,,NON-STANDARD,37,,FAN,37,,,,,,2500,37,,,
0.25,MOULD & CASTING,OVEN,OVEN PRECURING,10,Dry Resin,185,120,9,1,5,,,RADIATOR VALVE,38,,NGR,38,,,,,,3000,38,,,
0.25,MOULD & CASTING,OVEN,OVEN POSTCURING,10,Dry Resin,186,120,9,1,5,,,SIDEWALL,39,,ARRESTER,39,,,,,,3150,39,,,
0.25,MOULD & CASTING,OVEN,OVEN CURING LV,10,Dry Resin,187,120,9,1,5,,,TAP CHANGER ROTARY,40,,HEATER,40,,,,,,3500,40,,,
4,MOULD & CASTING,TOUCH UP,HV,10,Dry Resin,110,69,9,1,5,,,ACCESSORIES PAD MOUNTED,41,,PT-100,41,,,,,,4000,41,,,
2,MOULD & CASTING,TOUCH UP,LV,10,Dry Resin,111,69,9,1,5,,,ACCESSORIES POLE MOUNTED,42,,CABLE BOX HV / LV,42,,,,,,6000/8000,42,,,
4,CORE & ASSEMBLY,TYPE SUSUN CORE,STACKING OUTSOURCHING,10,Dry Resin,112,70,10,1,5,,,RAPID PRESSURE RISE RELAY,43,,CABLE BOX HV + LV,43,,,,,,50 CSP,43,,,
6,CORE & ASSEMBLY,TYPE SUSUN CORE,STACKING INHOUSE,10,Dry Resin,113,70,10,1,5,,,WINDING THERMOMETER,44,,WIRING CONTROL BOX STANDARD,44,,,,,,5,44,,,
0.5,CORE & ASSEMBLY,WIRING,NON-COMPLETE,10,Dry Resin,114,71,10,1,5,,,DGPT C/W CONTROL BOX,45,,WIRING CONTROL BOX NON-STANDARD,45,,,,,,16,45,,,
8,CORE & ASSEMBLY,TYPE SUSUN CORE,COMPLETE,10,Dry Resin,115,70,10,1,5,,,MEMBRAN SEPERATOR,46,,CU LINK HV / LV (STANDARD),46,,,,,,27,46,,,
6,CORE & ASSEMBLY,INSTAL HOUSING,DENGAN BASE,10,Dry Resin,116,72,10,1,5,,,DIAL THERMOMETER,47,,CU LINK HV + LV (STANDARD),47,,,,,,35,47,,,
3,CORE & ASSEMBLY,INSTAL HOUSING,TANPA BASE,10,Dry Resin,117,72,10,1,5,,,OIL THERMOMETER,48,,CU LINK HV / LV (NON-STANDARD),48,,,,,,60,48,,,
4,CORE & ASSEMBLY,BONGKAR HOUSING,DENGAN BASE,10,Dry Resin,116,73,10,1,5,,,BUCCHOLZ RELAY,49,,CU LINK HV /+ LV (NON STANDARD),49,,,,,,65,49,,,
3,CORE & ASSEMBLY,BONGKAR HOUSING,TANPA BASE,10,Dry Resin,117,73,10,1,5,,,ANTI VIBRATION,50,,RADIATOR PANEL (BONGKAR),50,,,,,,80,50,,,
1,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV / LV (STANDARD),10,Dry Resin,118,74,10,1,5,,,OLTC,51,,RADIATOR PANEL (PASANG),51,,,,,,93,51,,,
2,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV + LV (STANDARD),10,Dry Resin,119,74,10,1,5,,,MOLG,52,,CONSERVATOR (BONGKAR),52,,,,,,130,52,,,
1.5,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV / LV (NON-STANDARD),10,Dry Resin,120,74,10,1,5,,,PRD,53,,CONSERVATOR (PASANG),53,,,,,,140,53,,,
2.5,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV + LV (NON-STANDARD),10,Dry Resin,121,74,10,1,5,,,CONTROL VT,54,,ROUTINE TEST,54,,,,,,175,54,,,
1,CORE & ASSEMBLY,OTHERS,PEMBUATAN CU BAR,10,Dry Resin,122,75,10,1,5,,,DIFFERENTIAL VT,55,,LIGHTNING IMPULSE,55,,,,,,225,55,,,
0.5,CORE & ASSEMBLY,OTHERS,PEMBUATAN KONEKSI HV,10,Dry Resin,123,75,10,1,5,,,FAN,56,,TEMPERATURE RISE,56,,,,,,320,56,,,
3,CORE & ASSEMBLY,OTHERS,ASSEMBLY,10,Dry Resin,124,75,10,1,5,,,NGR,57,,TAN DELTA,57,,,,,,333,57,,,
8,CORE & ASSEMBLY,OTHERS,FINISHING,10,Dry Resin,125,75,10,1,5,,,ARRESTER,58,,NOISE,58,,,,,,350,58,,,
2,CORE & ASSEMBLY,ACCESSORIES,FAN,10,Dry Resin,56,121,10,1,5,,,HEATER,59,,SFRA,59,,,,,,360,59,,,
50,CORE & ASSEMBLY,ACCESSORIES,OLTC,10,Dry Resin,51,121,10,1,5,,,PT-100,60,,PD,60,,,,,,450,60,,,
2,CORE & ASSEMBLY,ACCESSORIES,LEM SPACER BLOCK/AIR GAP,10,Dry Resin,126,121,10,1,5,,,CABLE BOX HV / LV,61,,DGA,61,,,,,,550,61,,,
1,CORE & ASSEMBLY,POTONG ISOLASI FIBER,PULLING BOARD,10,Dry Resin,127,77,10,1,5,,,CABLE BOX HV + LV,62,,POTONG LEAD WIRE,62,,,,,,700,62,,,
1,CORE & ASSEMBLY,POTONG ISOLASI FIBER,FIXING PART INSULATION,10,Dry Resin,128,77,10,1,5,,,WIRING CONTROL BOX STANDARD,63,,POTONG ISOLASI,63,,,,,,850,63,,,
3.5,QC,QC,ROUTINE TEST,10,Dry Resin,15,122,13,1,5,,,WIRING CONTROL BOX NON-STANDARD,64,,HV MOULDING,64,,,,,,900,64,,,
15,COIL MAKING,COIL HV,FLAT-KONDUKTOR 1,15,Dry Resin,80,2,1,2,5,,,CU LINK HV / LV (STANDARD),65,,HV CASTING,65,,,,,,1200,65,,,
17,COIL MAKING,COIL HV,FLAT-KONDUKTOR 2-3,15,Dry Resin,81,2,1,2,5,,,CU LINK HV + LV (STANDARD),66,,HV DEMOULDING,66,,,,,,1300,66,,,
19,COIL MAKING,COIL HV,FLAT-KONDUKTOR 4-8,15,Dry Resin,82,2,1,2,5,,,CU LINK HV / LV (NON-STANDARD),67,,LV BOBBIN,67,,,,,,1400,67,,,
22,COIL MAKING,COIL HV,FLAT-KONDUKTOR >8,15,Dry Resin,83,2,1,2,5,,,CU LINK HV /+ LV (NON STANDARD),68,,LV MOULDING,68,,,,,,1450,68,,,
15,COIL MAKING,COIL HV,ROUND-KONDUKTOR 1,15,Dry Resin,84,2,1,2,5,,,RADIATOR PANEL (BONGKAR),69,,TOUCH UP,69,,,,,,1500,69,,,
17,COIL MAKING,COIL HV,ROUND-KONDUKTOR 2-3,15,Dry Resin,85,2,1,2,5,,,RADIATOR PANEL (PASANG),70,,TYPE SUSUN CORE,70,,,,,,1800,70,,,
19,COIL MAKING,COIL HV,ROUND-KONDUKTOR 4-8,15,Dry Resin,86,2,1,2,5,,,CONSERVATOR (BONGKAR),71,,WIRING,71,,,,,,2100,71,,,
22,COIL MAKING,COIL HV,ROUND-KONDUKTOR >8,15,Dry Resin,87,2,1,2,5,,,CONSERVATOR (PASANG),72,,INSTAL HOUSING,72,,,,,,2200,72,,,
4,COIL MAKING,COIL LV,FLAT-KONDUKTOR 1,15,Dry Resin,80,1,1,2,5,,,LIGHTNING IMPULSE,73,,BONGKAR HOUSING,73,,,,,,2250,73,,,
5,COIL MAKING,COIL LV,FLAT-KONDUKTOR 2-3,15,Dry Resin,81,1,1,2,5,,,TEMPERATURE RISE,74,,PEMBUATAN CU LINK,74,,,,,,2750,74,,,
5,COIL MAKING,COIL LV,FLAT-KONDUKTOR 4-8,15,Dry Resin,82,1,1,2,5,,,TAN DELTA,75,,OTHERS,75,,,,,,2800,75,,,
8,COIL MAKING,COIL LV,FLAT-KONDUKTOR >8,15,Dry Resin,83,1,1,2,5,,,NOISE,76,,ACCESORIES,76,,,,,,3200,76,,,
4,COIL MAKING,COIL LV,SHEET-KONDUKTOR 1,15,Dry Resin,88,1,1,2,5,,,SFRA,77,,POTONG ISOLASI FIBER,77,,,,,,3600,77,,,
5,COIL MAKING,COIL LV,SHEET-KONDUKTOR 2-3,15,Dry Resin,89,1,1,2,5,,,PD,78,,MOULD & CASTING,78,,,,,,3750,78,,,
6,COIL MAKING,COIL LV,ROUND-KONDUKTOR 1,15,Dry Resin,84,1,1,2,5,,,DGA,79,,HV CONNECTION,79,,,,,,4400,79,,,
6.5,COIL MAKING,COIL LV,ROUND-KONDUKTOR 2-3,15,Dry Resin,85,1,1,2,5,,,FLAT-KONDUKTOR 1,80,,LV CONNECTION,80,,,,,,4500,80,,,
1,COIL MAKING,POTONG LEAD WIRE,TEBAL RAIL COPPER ≥ 10t,15,Dry Resin,90,62,1,2,5,,,FLAT-KONDUKTOR 2-3,81,,BALUT CORE CT,81,,,,,,4700,81,,,
1.5,COIL MAKING,POTONG LEAD WIRE,TEBAL RAIL COPPER < 10t,15,Dry Resin,91,62,1,2,5,,,FLAT-KONDUKTOR 4-8,82,,CORE COIL ASSEMBLY & BALUT VT,82,,,,,,4750,82,,,
1,COIL MAKING,POTONG LEAD WIRE,COPPAL BAR,15,Dry Resin,92,62,1,2,5,,,FLAT-KONDUKTOR >8,83,,BUAT & PASANG SHIELDING,83,,,,,,5000,83,,,
1,COIL MAKING,POTONG ISOLASI,DOG BONE,15,Dry Resin,93,63,1,2,5,,,ROUND-KONDUKTOR 1,84,,GULUNG COIL SEKUNDER CT,84,,,,,,275,84,,,
0.5,COIL MAKING,POTONG ISOLASI,INNER,15,Dry Resin,94,63,1,2,5,,,ROUND-KONDUKTOR 2-3,85,,BUAT COIL PRIMER CT MANUAL,85,,,,,,TCI-24-2D,85,,,
0.5,COIL MAKING,POTONG ISOLASI,OUTER,15,Dry Resin,95,63,1,2,5,,,ROUND-KONDUKTOR 4-8,86,,BUAT COIL PRIMER CT MENGGUNAKAN MESIN,86,,,,,,TCI-24-3B2 /2B/2E/3C (single Ratio),86,,,
1,COIL MAKING,POTONG ISOLASI,GANJAL ANTAR SECTION,15,Dry Resin,96,63,1,2,5,,,ROUND-KONDUKTOR >8,87,,KONEKSI CT DAN VT,87,,,,,,TCI-24-3B2 /2B/2E/3C (Doble Ratio),87,,,
8,MOULD & CASTING,HV MOULDING,KONDUKTOR 1,15,Dry Resin,97,64,9,2,5,,,SHEET-KONDUKTOR 1,88,,SOLDER,88,,,,,,TCI-24-4B - CT CORONG ,88,,,
10,MOULD & CASTING,HV MOULDING,KONDUKTOR 2-3,15,Dry Resin,98,64,9,2,5,,,SHEET-KONDUKTOR 2-3,89,,GULUNG COIL SEKUNDER VT MANUAL,89,,,,,,TCI-24-4C - CT BAMBU ,89,,,
12,MOULD & CASTING,HV MOULDING,KONDUKTOR 4-6,15,Dry Resin,99,64,9,2,5,,,TEBAL RAIL COPPER ≥ 10T,90,,GULUNG COIL SEKUNDER VT MENGGUNAKAN MESIN,90,,,,,,CT - 24 (O) - 1C1R / 2R ,90,,,
3,MOULD & CASTING,HV CASTING,1X PENGISIAN,15,Dry Resin,100,65,9,2,5,,,TEBAL RAIL COPPER < 10T,91,,GULUNG COIL PRIMER CUT CORE,91,,,,,,CT-24 (O) - 2C1R / 2C2R,91,,,
4,MOULD & CASTING,HV CASTING,2X PENGISIAN,15,Dry Resin,101,65,9,2,5,,,COPPAL BAR,92,,GULUNG COIL PRIMER NO CUT CORE,92,,,,,,CTB - 12,92,,,
3,MOULD & CASTING,HV DEMOULDING,PAKAI AIRWAY STICK,15,Dry Resin,102,66,9,2,5,,,DOG BONE,93,,PROSES MOULD ASSEMBLY TYPE CT,93,,,,,,CTB - 12 - 2,93,,,
3,MOULD & CASTING,HV DEMOULDING,TIDAK PAKAI AIRWAY STICK,15,Dry Resin,103,66,9,2,5,,,INNER,94,,PROSES MOULD ASSEMBLY TYPE VT,94,,,,,,CTB-12A,94,,,
2,MOULD & CASTING,LV BOBBIN,PENGECATAN COIL LV & CURING,15,Dry Resin,104,67,9,2,5,,,OUTER,95,,PROSES MOULD ASSEMBLY TYPE RCT,95,,,,,,CTB-12-2A,95,,,
0.5,MOULD & CASTING,LV BOBBIN,BUKA BOBIN LV,15,Dry Resin,105,67,9,2,5,,,GANJAL ANTAR SECTION,96,,PROSES PENGOVENAN,96,,,,,,CTB - 24,96,,,
1,MOULD & CASTING,LV MOULDING,SETTING MOULD,15,Dry Resin,106,68,9,2,5,,,KONDUKTOR 1,97,,PROSES PEMBUATAN MATERIAL,97,,,,,,CTB - 24 - 2/2A/D2/B2,97,,,
1,MOULD & CASTING,LV MOULDING,MOULDING,15,Dry Resin,107,68,9,2,5,,,KONDUKTOR 2-3,98,,PROSES CASTING,98,,,,,,CTO-24,98,,,
3,MOULD & CASTING,LV MOULDING,CASTING 1 X PROSES PENGISIAN,15,Dry Resin,108,68,9,2,5,,,KONDUKTOR 4-6,99,,PROSES DEMOULDING,99,,,,,,POST - INSULATOR,99,,,
4,MOULD & CASTING,LV MOULDING,CASTING 2 X PROSES PENGISIAN,15,Dry Resin,109,68,9,2,5,,,1X PENGISIAN,100,,PROSES GERINDA,100,,,,,,VTI - 24 - 1/4/17 ,100,,,
0.25,MOULD & CASTING,OVEN,OVEN PREHEATING,15,Dry Resin,184,120,9,2,5,,,2X PENGISIAN,101,,PROSES CAT,101,,,,,,VTI - 24 - 2 ,101,,,
0.25,MOULD & CASTING,OVEN,OVEN PRECURING,15,Dry Resin,185,120,9,2,5,,,PAKAI AIRWAY STICK,102,,PASANG ACESORIS,102,,,,,,VT - 24A,102,,,
0.25,MOULD & CASTING,OVEN,OVEN POSTCURING,15,Dry Resin,186,120,9,2,5,,,TIDAK PAKAI AIRWAY STICK,103,,ON COVER STANDARD,103,,,,,,VT - 24 - 2B1S,103,,,
0.25,MOULD & CASTING,OVEN,OVEN CURING LV,15,Dry Resin,187,120,9,2,5,,,PENGECATAN COIL LV & CURING,104,,SIDE WALL STANDARD,104,,,,,,VT - 24(O) - 1B1S/2S ,104,,,
4,MOULD & CASTING,TOUCH UP,HV,15,Dry Resin,110,69,9,2,5,,,BUKA BOBIN LV,105,,SIDE WALL OLTC,105,,,,,,VT - 24(O) - 2B1S/2S,105,,,
2,MOULD & CASTING,TOUCH UP,LV,15,Dry Resin,111,69,9,2,5,,,SETTING MOULD,106,,CONSERVATOR,106,,,,,,VT 24F ,106,,,
4,CORE & ASSEMBLY,TYPE SUSUN CORE,STACKING OUTSOURCHING,15,Dry Resin,112,70,10,2,5,,,MOULDING,107,,CABLE BOX HV,107,,,,,,CVT-1 ,107,,,
6,CORE & ASSEMBLY,TYPE SUSUN CORE,STACKING INHOUSE,15,Dry Resin,113,70,10,2,5,,,CASTING 1 X PROSES PENGISIAN,108,,CABLE BOX LV,108,,,,,,VTB - 12/F,108,,,
0.5,CORE & ASSEMBLY,WIRING,NON-COMPLETE,15,Dry Resin,114,71,10,2,5,,,CASTING 2 X PROSES PENGISIAN,109,,CABLE BOX HV-LV,109,,,,,,VTB-24-2,109,,,
8,CORE & ASSEMBLY,TYPE SUSUN CORE,COMPLETE,15,Dry Resin,115,70,10,2,5,,,HV,110,,RADIATOR,110,,,,,,VTB - 24 ,110,,,
