durasi_manhour,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
1,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (BIASA),5,REPAIR,,
1.5,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (STAINLESS),5,REPAIR,,
2,BONGKAR,UNTANKING,ON COVER TYPE WELDED,5,REPAIR,,
2,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (BIASA),5,REPAIR,,
3,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (STAINLESS),5,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL STANDARDTYPE WELDED,5,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (BIASA),5,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (STAINLESS),5,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE WELDED,5,REPAIR,,
0,BONGKAR,CONSERVATOR,CONSERVATOR,5,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV,5,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX LV,5,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV-LV,5,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 4 SUSUN,5,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 8 SUSUN,5,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING HV,5,REPAIR,,
0.3,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING LV,5,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,OIL LEVEL INDICATOR,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,BUCHHOLZ RELAY,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,PRESSURE RELIEF DEVICE,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,WINDING THERMOMETER,5,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,THERMOMETER,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,OLTC,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,MOTOR DRIVE,5,REPAIR,,
0.5,BONGKAR,CORE,ANGKAT COIL YOKE CORE ATAS,5,REPAIR,,
2,BONGKAR,CORE,ANGKAT COIL BONGKAR TOTAL,5,REPAIR,,
0,BONGKAR,CORE,ANGKAT COIL WOUND,5,REPAIR,,
1.85,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,5,REPAIR,,
2.3,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,5,REPAIR,,
11,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),5,REPAIR,,
10.5,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,5,REPAIR,,
12,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,5,REPAIR,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,5,REPAIR,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT HELICAL,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,5,REPAIR,,
0.17,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),5,REPAIR,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,5,REPAIR,,
0.17,COIL MAKING,COIL LV,TRANSPOSE,5,REPAIR,,
9.5,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,5,REPAIR,,
10,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,5,REPAIR,,
9.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,5,REPAIR,,
9.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,5,REPAIR,,
9.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,5,REPAIR,,
9.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,5,REPAIR,,
10.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,5,REPAIR,,
11.75,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,5,REPAIR,,
10.5,COIL MAKING,COIL HV,2 SECTION,5,REPAIR,,
15,COIL MAKING,COIL HV,4 SECTION,5,REPAIR,,
9.5,COIL MAKING,COIL HV,FR OLTC,5,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,5,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,5,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,5,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,5,REPAIR,,
0.17,COIL MAKING,COIL HV,TRANSPOSE,5,REPAIR,,
0.5,COIL MAKING,COIL HV,PRESS COIL,5,REPAIR,,
3,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUND-KOTAK,5,REPAIR,,
2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE YOKE ATAS,5,REPAIR,,
6,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE TOTAL,5,REPAIR,,
1.5,CONNECTION,CONNECTION,OFF-LOAD,5,REPAIR,,
0,CONNECTION,CONNECTION,ON-LOAD,5,REPAIR,,
7,CONNECTION,CONNECTION,CHANGE OVER BOARD,5,REPAIR,,
3,CONNECTION,CONNECTION,DOUBLE TAP,5,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,FLAT,5,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,RAIL,5,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,WIRE SOFT,5,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,FLAT,5,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,RAIL,5,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,WIRE SOFT,5,REPAIR,,
1.5,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,5,REPAIR,,
3,FINAL ASSEMBLY,FINAL ASSEMBLY,NON-STANDARD,5,REPAIR,,
1,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,5,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,RADIATOR VALVE,5,REPAIR,,
1,FINAL ASSEMBLY,FINAL ASSEMBLY,SIDEWALL,5,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,TAP CHANGER ROTARY,5,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES PAD MOUNTED,5,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES POLE MOUNTED,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,RAPID PRESSURE RISE RELAY,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,WINDING THERMOMETER,5,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,DGPT C/W CONTROL BOX,5,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,MEMBRAN SEPERATOR,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,DIAL THERMOMETER,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,OIL THERMOMETER,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,BUCCHOLZ RELAY,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ANTI VIBRATION,5,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,OLTC,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,MOLG,5,REPAIR,,
0.5,FINISHING,ACCESSORIES TRAFO,PRD,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,CONTROL VT,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,DIFFERENTIAL VT,5,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,FAN,5,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,NGR,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ARRESTER,5,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,HEATER,5,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,PT-100,5,REPAIR,,
2,FINISHING,CABLE BOX,HV / LV,5,REPAIR,,
4,FINISHING,CABLE BOX,HV + LV,5,REPAIR,,
5,FINISHING,WIRING,STANDARD,5,REPAIR,,
20,FINISHING,WIRING,NON-STANDARD,5,REPAIR,,
3,FINISHING,COPPER LINK,HV / LV (STANDARD),5,REPAIR,,
6,FINISHING,COPPER LINK,HV + LV (STANDARD),5,REPAIR,,
14,FINISHING,COPPER LINK,HV / LV (NON-STANDARD),5,REPAIR,,
28,FINISHING,COPPER LINK,HV /+ LV (NON STANDARD),5,REPAIR,,
14,FINISHING,RADIATOR PANEL,BONGKAR,5,REPAIR,,
14,FINISHING,RADIATOR PANEL,PASANG,5,REPAIR,,
2,FINISHING,CONSERVATOR,BONGKAR,5,REPAIR,,
2,FINISHING,CONSERVATOR,PASANG,5,REPAIR,,
2,QC TEST,QC TEST,ROUTINE TEST,5,REPAIR,,
12,QC TEST,QC TEST,LIGHTNING IMPULSE,5,REPAIR,,
15,QC TEST,QC TEST,TEMPERATURE RISE,5,REPAIR,,
1.5,QC TEST,QC TEST,TAN DELTA,5,REPAIR,,
1.5,QC TEST,QC TEST,NOISE,5,REPAIR,,
2.5,QC TEST,QC TEST,SFRA,5,REPAIR,,
2,QC TEST,QC TEST,PD,5,REPAIR,,
0.33,QC TEST,QC TEST,DGA,5,REPAIR,,
1,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (BIASA),10,REPAIR,,
1.5,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (STAINLESS),10,REPAIR,,
2,BONGKAR,UNTANKING,ON COVER TYPE WELDED,10,REPAIR,,
2,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (BIASA),10,REPAIR,,
3,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (STAINLESS),10,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL STANDARDTYPE WELDED,10,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (BIASA),10,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (STAINLESS),10,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE WELDED,10,REPAIR,,
0,BONGKAR,CONSERVATOR,CONSERVATOR,10,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV,10,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX LV,10,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV-LV,10,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 4 SUSUN,10,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 8 SUSUN,10,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING HV,10,REPAIR,,
0.3,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING LV,10,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,OIL LEVEL INDICATOR,10,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,BUCHHOLZ RELAY,10,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,PRESSURE RELIEF DEVICE,10,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,WINDING THERMOMETER,10,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,THERMOMETER,10,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,OLTC,10,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,MOTOR DRIVE,10,REPAIR,,
0.5,BONGKAR,CORE,ANGKAT COIL YOKE CORE ATAS,10,REPAIR,,
2,BONGKAR,CORE,ANGKAT COIL BONGKAR TOTAL,10,REPAIR,,
0,BONGKAR,CORE,ANGKAT COIL WOUND,10,REPAIR,,
1.85,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,10,REPAIR,,
2.3,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,10,REPAIR,,
11,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),10,REPAIR,,
10.5,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,10,REPAIR,,
12,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,10,REPAIR,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,10,REPAIR,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,10,REPAIR,,
0,COIL MAKING,COIL LV,FLAT HELICAL,10,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,10,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,10,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,10,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,10,REPAIR,,
0.17,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),10,REPAIR,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,10,REPAIR,,
0.17,COIL MAKING,COIL LV,TRANSPOSE,10,REPAIR,,
9.5,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,10,REPAIR,,
10,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,10,REPAIR,,
9.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,10,REPAIR,,
9.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,10,REPAIR,,
9.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,10,REPAIR,,
9.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,10,REPAIR,,
10.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,10,REPAIR,,
11.75,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,10,REPAIR,,
10.5,COIL MAKING,COIL HV,2 SECTION,10,REPAIR,,
15,COIL MAKING,COIL HV,4 SECTION,10,REPAIR,,
9.5,COIL MAKING,COIL HV,FR OLTC,10,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,10,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,10,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,10,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,10,REPAIR,,
0.17,COIL MAKING,COIL HV,TRANSPOSE,10,REPAIR,,
0.5,COIL MAKING,COIL HV,PRESS COIL,10,REPAIR,,
3,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUND-KOTAK,10,REPAIR,,
2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE YOKE ATAS,10,REPAIR,,
6,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE TOTAL,10,REPAIR,,
1.5,CONNECTION,CONNECTION,OFF-LOAD,10,REPAIR,,
0,CONNECTION,CONNECTION,ON-LOAD,10,REPAIR,,
7,CONNECTION,CONNECTION,CHANGE OVER BOARD,10,REPAIR,,
3,CONNECTION,CONNECTION,DOUBLE TAP,10,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,FLAT,10,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,RAIL,10,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,WIRE SOFT,10,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,FLAT,10,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,RAIL,10,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,WIRE SOFT,10,REPAIR,,
1.5,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,10,REPAIR,,
3,FINAL ASSEMBLY,FINAL ASSEMBLY,NON-STANDARD,10,REPAIR,,
1,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,10,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,RADIATOR VALVE,10,REPAIR,,
1,FINAL ASSEMBLY,FINAL ASSEMBLY,SIDEWALL,10,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,TAP CHANGER ROTARY,10,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES PAD MOUNTED,10,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES POLE MOUNTED,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,RAPID PRESSURE RISE RELAY,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,WINDING THERMOMETER,10,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,DGPT C/W CONTROL BOX,10,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,MEMBRAN SEPERATOR,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,DIAL THERMOMETER,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,OIL THERMOMETER,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,BUCCHOLZ RELAY,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ANTI VIBRATION,10,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,OLTC,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,MOLG,10,REPAIR,,
0.5,FINISHING,ACCESSORIES TRAFO,PRD,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,CONTROL VT,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,DIFFERENTIAL VT,10,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,FAN,10,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,NGR,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ARRESTER,10,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,HEATER,10,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,PT-100,10,REPAIR,,
2,FINISHING,CABLE BOX,HV / LV,10,REPAIR,,
4,FINISHING,CABLE BOX,HV + LV,10,REPAIR,,
5,FINISHING,WIRING,STANDARD,10,REPAIR,,
20,FINISHING,WIRING,NON-STANDARD,10,REPAIR,,
3,FINISHING,COPPER LINK,HV / LV (STANDARD),10,REPAIR,,
6,FINISHING,COPPER LINK,HV + LV (STANDARD),10,REPAIR,,
14,FINISHING,COPPER LINK,HV / LV (NON-STANDARD),10,REPAIR,,
28,FINISHING,COPPER LINK,HV /+ LV (NON STANDARD),10,REPAIR,,
14,FINISHING,RADIATOR PANEL,BONGKAR,10,REPAIR,,
14,FINISHING,RADIATOR PANEL,PASANG,10,REPAIR,,
2,FINISHING,CONSERVATOR,BONGKAR,10,REPAIR,,
2,FINISHING,CONSERVATOR,PASANG,10,REPAIR,,
2,QC TEST,QC TEST,ROUTINE TEST,10,REPAIR,,
12,QC TEST,QC TEST,LIGHTNING IMPULSE,10,REPAIR,,
15,QC TEST,QC TEST,TEMPERATURE RISE,10,REPAIR,,
1.5,QC TEST,QC TEST,TAN DELTA,10,REPAIR,,
1.5,QC TEST,QC TEST,NOISE,10,REPAIR,,
2.5,QC TEST,QC TEST,SFRA,10,REPAIR,,
2,QC TEST,QC TEST,PD,10,REPAIR,,
0.33,QC TEST,QC TEST,DGA,10,REPAIR,,
1,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (BIASA),15,REPAIR,,
1.5,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (STAINLESS),15,REPAIR,,
2,BONGKAR,UNTANKING,ON COVER TYPE WELDED,15,REPAIR,,
2,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (BIASA),15,REPAIR,,
3,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (STAINLESS),15,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL STANDARDTYPE WELDED,15,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (BIASA),15,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (STAINLESS),15,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE WELDED,15,REPAIR,,
0,BONGKAR,CONSERVATOR,CONSERVATOR,15,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV,15,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX LV,15,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV-LV,15,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 4 SUSUN,15,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 8 SUSUN,15,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING HV,15,REPAIR,,
0.3,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING LV,15,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,OIL LEVEL INDICATOR,15,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,BUCHHOLZ RELAY,15,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,PRESSURE RELIEF DEVICE,15,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,WINDING THERMOMETER,15,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,THERMOMETER,15,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,OLTC,15,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,MOTOR DRIVE,15,REPAIR,,
0.5,BONGKAR,CORE,ANGKAT COIL YOKE CORE ATAS,15,REPAIR,,
2,BONGKAR,CORE,ANGKAT COIL BONGKAR TOTAL,15,REPAIR,,
0,BONGKAR,CORE,ANGKAT COIL WOUND,15,REPAIR,,
1.85,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,15,REPAIR,,
2.3,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,15,REPAIR,,
11,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),15,REPAIR,,
10.5,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,15,REPAIR,,
12,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,15,REPAIR,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,15,REPAIR,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,15,REPAIR,,
0,COIL MAKING,COIL LV,FLAT HELICAL,15,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,15,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,15,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,15,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,15,REPAIR,,
0.17,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),15,REPAIR,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,15,REPAIR,,
0.17,COIL MAKING,COIL LV,TRANSPOSE,15,REPAIR,,
9.5,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,15,REPAIR,,
10,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,15,REPAIR,,
9.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,15,REPAIR,,
9.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,15,REPAIR,,
9.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,15,REPAIR,,
9.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,15,REPAIR,,
10.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,15,REPAIR,,
11.75,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,15,REPAIR,,
10.5,COIL MAKING,COIL HV,2 SECTION,15,REPAIR,,
15,COIL MAKING,COIL HV,4 SECTION,15,REPAIR,,
9.5,COIL MAKING,COIL HV,FR OLTC,15,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,15,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,15,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,15,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,15,REPAIR,,
0.17,COIL MAKING,COIL HV,TRANSPOSE,15,REPAIR,,
0.5,COIL MAKING,COIL HV,PRESS COIL,15,REPAIR,,
3,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUND-KOTAK,15,REPAIR,,
2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE YOKE ATAS,15,REPAIR,,
6,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE TOTAL,15,REPAIR,,
1.5,CONNECTION,CONNECTION,OFF-LOAD,15,REPAIR,,
0,CONNECTION,CONNECTION,ON-LOAD,15,REPAIR,,
7,CONNECTION,CONNECTION,CHANGE OVER BOARD,15,REPAIR,,
3,CONNECTION,CONNECTION,DOUBLE TAP,15,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,FLAT,15,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,RAIL,15,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,WIRE SOFT,15,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,FLAT,15,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,RAIL,15,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,WIRE SOFT,15,REPAIR,,
1.5,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,15,REPAIR,,
3,FINAL ASSEMBLY,FINAL ASSEMBLY,NON-STANDARD,15,REPAIR,,
1,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,15,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,RADIATOR VALVE,15,REPAIR,,
1,FINAL ASSEMBLY,FINAL ASSEMBLY,SIDEWALL,15,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,TAP CHANGER ROTARY,15,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES PAD MOUNTED,15,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES POLE MOUNTED,15,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,RAPID PRESSURE RISE RELAY,15,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,WINDING THERMOMETER,15,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,DGPT C/W CONTROL BOX,15,REPAIR,,
